Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
C;6.0;42.4;30.17;30.0;30.5;2018/01/01;2018/01/07;2018;1
U;1.0;43.7;29.5;29.5;29.5;2018/01/01;2018/01/07;2018;1
S;5.0;40.8;19.5;19.5;19.5;2018/01/01;2018/01/07;2018;1
P;787.0;60.95;31.48;29.27;33.48;2018/01/01;2018/01/07;2018;1
O;75.0;61.25;31.27;28.8;33.48;2018/01/01;2018/01/07;2018;1
R;9.0;62.27;29.65;27.66;31.45;2018/01/01;2018/01/07;2018;1
C;1.0;56.2;22.0;22.0;22.0;2018/01/01;2018/01/07;2018;1
P;6261.0;73.95;29.54;27.46;32.16;2018/01/01;2018/01/07;2018;1
O;1977.0;76.11;29.23;26.79;32.18;2018/01/01;2018/01/07;2018;1
R;212.0;78.26;26.34;18.79;30.65;2018/01/01;2018/01/07;2018;1
C;15.0;75.83;24.11;22.27;29.33;2018/01/01;2018/01/07;2018;1
U;3.0;78.5;29.5;29.5;29.5;2018/01/01;2018/01/07;2018;1
S;6.0;73.26;23.73;21.5;28.97;2018/01/01;2018/01/07;2018;1
P;2934.0;86.81;27.87;26.99;29.76;2018/01/01;2018/01/07;2018;1
O;3929.0;88.49;27.73;27.11;29.33;2018/01/01;2018/01/07;2018;1
R;750.0;89.53;26.32;24.87;28.27;2018/01/01;2018/01/07;2018;1
C;96.0;88.64;22.01;19.43;23.98;2018/01/01;2018/01/07;2018;1
U;7.0;90.15;21.06;21.06;21.06;2018/01/01;2018/01/07;2018;1
S;6.0;98.1;24.52;21.5;27.33;2018/01/01;2018/01/07;2018;1
BC;20.0;75.572;21.33;20.08;24.0;2016/01/04;2016/01/10;2016;1
BO;924.0;74.987;23.57;21.5;26.0;2016/01/04;2016/01/10;2016;1
BP;2514.0;72.063;22.08;22.0;26.0;2016/01/04;2016/01/10;2016;1
BR;93.0;76.421;21.02;14.6;25.0;2016/01/04;2016/01/10;2016;1
BS;5.0;70.92;16.0;16.0;16.0;2016/01/04;2016/01/10;2016;1
BU;8.0;73.613;19.32;16.0;23.0;2016/01/04;2016/01/10;2016;1
PC;3.0;46.667;21.67;20.2;22.5;2016/01/04;2016/01/10;2016;1
PO;78.0;52.81;24.29;21.5;26.0;2016/01/04;2016/01/10;2016;1
PP;657.0;51.86;23.6;21.5;26.0;2016/01/04;2016/01/10;2016;1
PR;7.0;51.12;21.57;21.0;25.0;2016/01/04;2016/01/10;2016;1
SAS;295.0;154.03;15.9;14.0;18.0;2016/01/04;2016/01/10;2016;1
HP;2.0;94.7;16.0;16.0;16.0;2016/01/04;2016/01/10;2016;1
HO;296.0;88.26;22.27;21.5;24.0;2016/01/04;2016/01/10;2016;1
