Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
S;80.0;10044.0;1665.0;1654.0;1667.0;2018/05/07;2018/05/13;2018;5
BP;4751.0;73.63;24.26;23.62;26.75;2016/05/09;2016/05/15;2016;5
BO;2185.0;75.09;24.26;23.34;25.0;2016/05/09;2016/05/15;2016;5
BR;240.0;76.38;23.8;23.0;24.65;2016/05/09;2016/05/15;2016;5
BC;16.0;73.89;19.08;17.47;22.0;2016/05/09;2016/05/15;2016;5
BU;1.0;79.54;18.93;18.93;18.93;2016/05/09;2016/05/15;2016;5
BS;1.0;79.2;20.0;20.0;20.0;2016/05/09;2016/05/15;2016;5
PP;1193.0;46.72;25.12;22.89;27.19;2016/05/09;2016/05/15;2016;5
PO;186.0;43.36;25.16;22.53;27.2;2016/05/09;2016/05/15;2016;5
PR;35.0;45.65;24.4;20.0;25.5;2016/05/09;2016/05/15;2016;5
PC;14.0;42.24;18.63;16.0;20.5;2016/05/09;2016/05/15;2016;5
PU;3.0;38.65;17.25;14.0;19.5;2016/05/09;2016/05/15;2016;5
PS;2.0;29.5;16.19;12.0;18.5;2016/05/09;2016/05/15;2016;5
SAU;94.0;106.45;10.98;8.0;18.0;2016/05/09;2016/05/15;2016;5
HP;3034.0;86.87;24.05;24.0;24.12;2016/05/09;2016/05/15;2016;5
HO;4333.0;87.29;24.0;24.0;24.09;2016/05/09;2016/05/15;2016;5
HR;933.0;89.81;23.45;22.9;24.0;2016/05/09;2016/05/15;2016;5
HC;87.0;90.37;19.61;15.0;24.0;2016/05/09;2016/05/15;2016;5
HU;11.0;92.35;18.34;13.0;24.0;2016/05/09;2016/05/15;2016;5
HS;9.0;98.43;19.47;16.6;24.0;2016/05/09;2016/05/15;2016;5
CP;624.0;60.79;25.11;24.0;25.8;2016/05/09;2016/05/15;2016;5
CO;131.0;61.11;24.8;24.0;25.6;2016/05/09;2016/05/15;2016;5
CR;16.0;60.21;24.7;23.1;25.0;2016/05/09;2016/05/15;2016;5
CC;2.0;59.49;17.87;16.0;19.58;2016/05/09;2016/05/15;2016;5
CU;1.0;55.48;24.25;24.25;24.25;2016/05/09;2016/05/15;2016;5
CS;2.0;60.4;21.0;21.0;21.0;2016/05/09;2016/05/15;2016;5
SAS;361.0;147.56;15.99;15.0;21.0;2016/05/09;2016/05/15;2016;5
BC;23.0;75.578;20.47;19.0;23.0;2016/01/11;2016/01/17;2016;1
BO;1564.0;107.01;22.88;21.5;26.25;2016/01/11;2016/01/17;2016;1
BP;3663.0;74.8;23.11;21.5;26.0;2016/01/11;2016/01/17;2016;1
BR;130.0;77.619;21.13;14.6;25.0;2016/01/11;2016/01/17;2016;1
BS;2.0;89.6;14.71;13.57;16.0;2016/01/11;2016/01/17;2016;1
BU;7.0;70.386;19.88;18.25;20.5;2016/01/11;2016/01/17;2016;1
PC;4.0;47.8;21.55;21.5;21.61;2016/01/11;2016/01/17;2016;1
PO;97.0;50.53;24.85;21.5;28.4;2016/01/11;2016/01/17;2016;1
PP;1078.0;49.96;25.48;21.5;28.33;2016/01/11;2016/01/17;2016;1
PR;18.0;43.61;22.3;21.0;24.5;2016/01/11;2016/01/17;2016;1
SAS;237.0;157.33;16.08;14.25;17.62;2016/01/11;2016/01/17;2016;1
HP;6.0;82.217;21.56;19.0;26.0;2016/01/11;2016/01/17;2016;1
HO;1481.0;87.913;22.41;21.5;26.0;2016/01/11;2016/01/17;2016;1
HR;1137.0;81.795;23.44;21.5;25.94;2016/01/11;2016/01/17;2016;1
HC;234.0;77.754;21.62;20.25;25.86;2016/01/11;2016/01/17;2016;1
CP;1.0;56.4;19.6;19.6;19.6;2016/01/11;2016/01/17;2016;1
CO;61.0;60.94;25.67;23.0;26.09;2016/01/11;2016/01/17;2016;1
CR;578.0;60.795;25.16;10.0;26.0;2016/01/11;2016/01/17;2016;1
CC;4.0;62.175;24.7;23.4;26.0;2016/01/11;2016/01/17;2016;1
BP;5205.0;72.91;26.81;22.3;31.0;2017/01/09;2017/01/15;2017;1
BO;1978.0;74.08;27.19;22.3;31.0;2017/01/09;2017/01/15;2017;1
BR;233.0;75.63;26.24;15.3;31.0;2017/01/09;2017/01/15;2017;1
BC;15.0;74.21;20.88;13.0;25.7;2017/01/09;2017/01/15;2017;1
BU;4.0;76.1;18.35;13.0;20.07;2017/01/09;2017/01/15;2017;1
BS;53.0;79.85;19.4;11.0;31.0;2017/01/09;2017/01/15;2017;1
PP;2487.0;52.29;29.32;22.5;31.48;2017/01/09;2017/01/15;2017;1
PO;211.0;50.51;29.41;24.96;31.5;2017/01/09;2017/01/15;2017;1
PR;10.0;48.57;23.84;10.0;28.5;2017/01/09;2017/01/15;2017;1
PC;3.0;48.45;13.13;10.0;16.0;2017/01/09;2017/01/15;2017;1
PU;1.0;53.2;13.0;13.0;13.0;2017/01/09;2017/01/15;2017;1
PS;1.0;58.4;13.0;13.0;13.0;2017/01/09;2017/01/15;2017;1
SAB;66.0;163.65;14.08;10.0;26.5;2017/01/09;2017/01/15;2017;1
HP;3052.0;85.53;25.84;22.3;27.97;2017/01/09;2017/01/15;2017;1
HO;3129.0;87.43;25.85;22.3;30.5;2017/01/09;2017/01/15;2017;1
HR;572.0;88.86;24.98;12.1;27.5;2017/01/09;2017/01/15;2017;1
HC;58.0;88.27;21.0;15.0;25.5;2017/01/09;2017/01/15;2017;1
HU;8.0;87.79;21.69;19.77;25.5;2017/01/09;2017/01/15;2017;1
HS;8.0;90.58;13.41;9.4;25.5;2017/01/09;2017/01/15;2017;1
CP;2441.0;61.36;27.65;10.0;31.0;2017/01/09;2017/01/15;2017;1
CO;339.0;62.41;27.25;10.0;30.0;2017/01/09;2017/01/15;2017;1
CR;31.0;60.19;26.99;13.0;29.0;2017/01/09;2017/01/15;2017;1
CC;3.0;55.67;21.53;13.0;27.5;2017/01/09;2017/01/15;2017;1
CS;1.0;62.4;19.0;19.0;19.0;2017/01/09;2017/01/15;2017;1
SAS;714.0;154.6;17.77;14.0;20.8;2017/01/09;2017/01/15;2017;1
P;1818.0;51.73;31.58;29.58;34.96;2018/01/08;2018/01/14;2018;1
O;134.0;49.79;31.07;29.58;32.11;2018/01/08;2018/01/14;2018;1
R;57.0;45.09;29.82;24.5;32.54;2018/01/08;2018/01/14;2018;1
C;15.0;46.51;26.33;28.63;31.0;2018/01/08;2018/01/14;2018;1
U;4.0;50.84;25.49;20.5;31.5;2018/01/08;2018/01/14;2018;1
S;7.0;41.97;19.34;19.0;20.5;2018/01/08;2018/01/14;2018;1
P;999.0;60.88;31.91;28.25;34.04;2018/01/08;2018/01/14;2018;1
O;145.0;61.45;30.78;28.24;33.5;2018/01/08;2018/01/14;2018;1
R;50.0;61.36;29.78;24.0;30.8;2018/01/08;2018/01/14;2018;1
C;2.0;62.6;16.0;16.0;16.0;2018/01/08;2018/01/14;2018;1
U;2.0;59.7;17.52;13.0;21.5;2018/01/08;2018/01/14;2018;1
P;5414.0;72.8;29.31;26.35;32.48;2018/01/08;2018/01/14;2018;1
O;2199.0;75.23;28.95;26.73;32.39;2018/01/08;2018/01/14;2018;1
R;278.0;78.06;28.18;26.29;31.81;2018/01/08;2018/01/14;2018;1
C;45.0;72.14;24.08;15.0;30.19;2018/01/08;2018/01/14;2018;1
U;13.0;69.63;26.54;20.5;28.0;2018/01/08;2018/01/14;2018;1
S;6.0;74.87;17.32;11.0;24.0;2018/01/08;2018/01/14;2018;1
P;2055.0;86.11;27.42;24.32;29.64;2018/01/08;2018/01/14;2018;1
O;4106.0;88.47;27.39;27.26;31.29;2018/01/08;2018/01/14;2018;1
R;1006.0;90.11;25.95;24.12;30.5;2018/01/08;2018/01/14;2018;1
C;97.0;89.09;20.86;15.0;26.5;2018/01/08;2018/01/14;2018;1
U;14.0;90.99;22.04;21.13;24.23;2018/01/08;2018/01/14;2018;1
S;9.0;93.89;19.05;11.0;20.5;2018/01/08;2018/01/14;2018;1
A2;6452.0;27880.0;4402.0;4523.0;4251.0;2018/01/08;2018/01/14;2018;1
A3;887.0;29762.0;4450.0;4572.0;4450.0;2018/01/08;2018/01/14;2018;1
AB2;284.0;26920.0;4341.0;4378.0;4273.0;2018/01/08;2018/01/14;2018;1
AB3;66.0;29187.0;4331.0;4375.0;4293.0;2018/01/08;2018/01/14;2018;1
B2;228.0;26017.0;4073.0;4162.0;3940.0;2018/01/08;2018/01/14;2018;1
B3;40.0;34676.0;4179.0;4178.0;4022.0;2018/01/08;2018/01/14;2018;1
C2;839.0;26749.0;4000.0;4127.0;3922.0;2018/01/08;2018/01/14;2018;1
C3;223.0;29580.0;4017.0;4131.0;3989.0;2018/01/08;2018/01/14;2018;1
A2;8110.0;26870.0;4501.0;4630.0;4528.0;2018/01/08;2018/01/14;2018;1
A3;533.0;28055.0;4496.0;4656.0;4500.0;2018/01/08;2018/01/14;2018;1
AB2;351.0;27867.0;4390.0;4428.0;4340.0;2018/01/08;2018/01/14;2018;1
AB3;48.0;29172.0;4421.0;4432.0;4406.0;2018/01/08;2018/01/14;2018;1
B2;212.0;25276.0;4083.0;4235.0;4020.0;2018/01/08;2018/01/14;2018;1
B3;33.0;30979.0;4162.0;4174.0;4115.0;2018/01/08;2018/01/14;2018;1
C2;769.0;25739.0;3923.0;4152.0;3789.0;2018/01/08;2018/01/14;2018;1
C3;149.0;30476.0;3963.0;4165.0;3928.0;2018/01/08;2018/01/14;2018;1
PP;1843.0;53.96;26.01;25.48;27.62;2017/05/15;2017/05/21;2017;5
PO;94.0;53.03;26.57;25.5;30.5;2017/05/15;2017/05/21;2017;5
PR;23.0;52.74;25.58;25.0;28.5;2017/05/15;2017/05/21;2017;5
PC;43.0;28.45;17.43;15.42;22.81;2017/05/15;2017/05/21;2017;5
PS;7.0;155.21;17.76;14.5;26.0;2017/05/15;2017/05/21;2017;5
CP;362.0;61.08;26.68;25.76;27.8;2017/05/15;2017/05/21;2017;5
CO;78.0;61.23;26.6;25.87;27.55;2017/05/15;2017/05/21;2017;5
CR;2.0;61.43;25.23;25.0;25.44;2017/05/15;2017/05/21;2017;5
BP;4265.0;73.67;26.09;23.74;27.45;2017/05/15;2017/05/21;2017;5
BO;1898.0;76.47;26.8;25.43;28.5;2017/05/15;2017/05/21;2017;5
BR;212.0;77.9;26.39;23.76;28.5;2017/05/15;2017/05/21;2017;5
BC;8.0;78.52;21.09;22.18;24.7;2017/05/15;2017/05/21;2017;5
BU;1.0;72.17;19.88;19.88;19.88;2017/05/15;2017/05/21;2017;5
BS;3.0;88.0;21.73;21.0;22.0;2017/05/15;2017/05/21;2017;5
HP;2228.0;86.7;25.98;25.79;26.32;2017/05/15;2017/05/21;2017;5
HO;2792.0;88.9;25.93;25.66;26.23;2017/05/15;2017/05/21;2017;5
HR;494.0;89.86;24.85;24.19;25.29;2017/05/15;2017/05/21;2017;5
HC;57.0;87.76;22.44;20.24;28.5;2017/05/15;2017/05/21;2017;5
HU;10.0;90.15;21.36;19.06;28.5;2017/05/15;2017/05/21;2017;5
HS;10.0;91.47;18.76;14.5;22.0;2017/05/15;2017/05/21;2017;5
SAU;466.0;142.41;18.58;14.03;24.56;2017/05/15;2017/05/21;2017;5
SAB;158.0;106.58;23.66;22.01;24.54;2017/05/15;2017/05/21;2017;5
BP;5146.0;74.47;24.18;23.48;26.75;2016/05/16;2016/05/22;2016;5
BO;2306.0;76.32;24.21;23.0;25.0;2016/05/16;2016/05/22;2016;5
BR;269.0;77.52;24.07;21.0;24.48;2016/05/16;2016/05/22;2016;5
BC;23.0;76.96;19.72;15.0;21.3;2016/05/16;2016/05/22;2016;5
BU;16.0;77.78;18.1;15.0;18.72;2016/05/16;2016/05/22;2016;5
BS;2.0;78.35;15.52;11.0;20.0;2016/05/16;2016/05/22;2016;5
PP;790.0;48.55;25.06;22.0;27.17;2016/05/16;2016/05/22;2016;5
PO;78.0;45.32;24.89;22.0;27.2;2016/05/16;2016/05/22;2016;5
PR;16.0;44.31;24.07;22.0;25.5;2016/05/16;2016/05/22;2016;5
PC;3.0;41.77;18.39;16.0;22.0;2016/05/16;2016/05/22;2016;5
PU;2.0;44.4;17.29;14.0;22.0;2016/05/16;2016/05/22;2016;5
PS;3.0;44.4;16.0;16.0;16.0;2016/05/16;2016/05/22;2016;5
SAU;86.0;110.75;13.5;8.0;19.72;2016/05/16;2016/05/22;2016;5
HP;3162.0;86.24;23.97;23.52;25.0;2016/05/16;2016/05/22;2016;5
HO;4793.0;87.5;24.01;23.51;24.5;2016/05/16;2016/05/22;2016;5
HR;1054.0;89.72;23.39;22.9;24.0;2016/05/16;2016/05/22;2016;5
HC;94.0;90.39;19.71;15.0;24.0;2016/05/16;2016/05/22;2016;5
HU;12.0;94.32;18.6;15.0;24.0;2016/05/16;2016/05/22;2016;5
HS;10.0;94.79;21.13;11.0;24.0;2016/05/16;2016/05/22;2016;5
CP;823.0;60.14;24.95;23.05;26.0;2016/05/16;2016/05/22;2016;5
CO;119.0;61.17;24.72;23.62;26.0;2016/05/16;2016/05/22;2016;5
CR;20.0;60.94;24.66;23.69;25.0;2016/05/16;2016/05/22;2016;5
CC;2.0;59.7;17.49;16.0;19.0;2016/05/16;2016/05/22;2016;5
SAS;336.0;146.03;15.64;12.0;17.3;2016/05/16;2016/05/22;2016;5
BP;4655.0;74.29;24.26;23.5;26.75;2016/05/23;2016/05/29;2016;5
BO;1995.0;78.9;24.07;23.5;25.0;2016/05/23;2016/05/29;2016;5
BR;368.0;80.35;23.9;21.0;24.5;2016/05/23;2016/05/29;2016;5
BC;27.0;74.34;20.85;16.0;23.0;2016/05/23;2016/05/29;2016;5
BU;58.0;78.83;20.97;19.0;21.0;2016/05/23;2016/05/29;2016;5
BS;1.0;78.18;14.62;14.62;14.62;2016/05/23;2016/05/29;2016;5
PP;923.0;48.19;25.24;22.84;27.17;2016/05/23;2016/05/29;2016;5
PO;44.0;46.57;25.2;22.0;27.2;2016/05/23;2016/05/29;2016;5
PR;9.0;46.1;22.99;22.0;26.0;2016/05/23;2016/05/29;2016;5
PU;1.0;48.1;20.0;20.0;20.0;2016/05/23;2016/05/29;2016;5
SAB;76.0;109.03;16.94;12.0;19.1;2016/05/23;2016/05/29;2016;5
HP;2965.0;86.06;23.93;23.52;25.0;2016/05/23;2016/05/29;2016;5
HO;3662.0;87.69;23.99;23.31;24.5;2016/05/23;2016/05/29;2016;5
HR;769.0;89.44;23.03;21.5;24.0;2016/05/23;2016/05/29;2016;5
HC;113.0;91.84;19.76;16.0;23.0;2016/05/23;2016/05/29;2016;5
HU;10.0;91.57;18.8;16.0;24.3;2016/05/23;2016/05/29;2016;5
HS;16.0;94.86;20.22;14.0;22.5;2016/05/23;2016/05/29;2016;5
CP;876.0;59.53;24.82;23.26;26.75;2016/05/23;2016/05/29;2016;5
CO;160.0;61.16;24.78;22.43;26.0;2016/05/23;2016/05/29;2016;5
CR;12.0;63.52;23.68;21.0;23.94;2016/05/23;2016/05/29;2016;5
CC;1.0;59.2;16.0;16.0;16.0;2016/05/23;2016/05/29;2016;5
CS;1.0;64.6;19.0;19.0;0.0;2016/05/23;2016/05/29;2016;5
SAS;273.0;147.26;16.44;12.0;17.17;2016/05/23;2016/05/29;2016;5
PP;2285.0;5257.0;2654.0;2523.0;2963.0;2017/05/22;2017/05/28;2017;5
PO;130.0;5271.0;2595.0;2387.0;2771.0;2017/05/22;2017/05/28;2017;5
PR;23.0;4714.0;2451.0;2348.0;2826.0;2017/05/22;2017/05/28;2017;5
PC;8.0;5033.0;2166.0;2000.0;2450.0;2017/05/22;2017/05/28;2017;5
PU;1.0;4440.0;2000.0;2000.0;2000.0;2017/05/22;2017/05/28;2017;5
PS;5.0;18954.0;1750.0;1750.0;1750.0;2017/05/22;2017/05/28;2017;5
CP;968.0;6106.0;2788.0;2630.0;2856.0;2017/05/22;2017/05/28;2017;5
CO;51.0;6193.0;2741.0;2590.0;2850.0;2017/05/22;2017/05/28;2017;5
CR;7.0;6104.0;2473.0;2300.0;2504.0;2017/05/22;2017/05/28;2017;5
CC;2.0;6050.0;2000.0;2000.0;2000.0;2017/05/22;2017/05/28;2017;5
CU;4.0;6197.0;2000.0;2000.0;2000.0;2017/05/22;2017/05/28;2017;5
BP;6432.0;7337.0;2645.0;2445.0;2783.0;2017/05/22;2017/05/28;2017;5
BO;2612.0;7592.0;2684.0;2549.0;2843.0;2017/05/22;2017/05/28;2017;5
BR;212.0;7609.0;2530.0;2400.0;2577.0;2017/05/22;2017/05/28;2017;5
BC;45.0;7405.0;2329.0;2087.0;2850.0;2017/05/22;2017/05/28;2017;5
BU;1.0;892.0;2000.0;2000.0;2000.0;2017/05/22;2017/05/28;2017;5
BS;5.0;8593.0;1977.0;1588.0;2200.0;2017/05/22;2017/05/28;2017;5
HP;2902.0;8707.0;2603.0;2571.0;2766.0;2017/05/22;2017/05/28;2017;5
HO;3794.0;8870.0;2594.0;2547.0;2757.0;2017/05/22;2017/05/28;2017;5
HR;848.0;8929.0;2503.0;2411.0;2690.0;2017/05/22;2017/05/28;2017;5
HC;74.0;8981.0;2068.0;2050.0;2470.0;2017/05/22;2017/05/28;2017;5
HU;5.0;8679.0;2259.0;1980.0;2800.0;2017/05/22;2017/05/28;2017;5
HS;11.0;9348.0;1896.0;1450.0;2800.0;2017/05/22;2017/05/28;2017;5
SAU;606.0;14002.0;1944.0;1590.0;2382.0;2017/05/22;2017/05/28;2017;5
SAB;280.0;10691.0;2244.0;1803.0;2382.0;2017/05/22;2017/05/28;2017;5
P;467.0;4596.0;2119.0;1917.0;2194.0;2018/05/21;2018/05/27;2018;5
O;55.0;4583.0;1837.0;1543.0;2155.0;2018/05/21;2018/05/27;2018;5
R;19.0;4687.0;1975.0;1680.0;2100.0;2018/05/21;2018/05/27;2018;5
C;5.0;4070.0;1774.0;1560.0;2000.0;2018/05/21;2018/05/27;2018;5
P;762.0;6124.0;2040.0;1837.0;2100.0;2018/05/21;2018/05/27;2018;5
O;151.0;6153.0;2037.0;1850.0;2100.0;2018/05/21;2018/05/27;2018;5
R;13.0;6141.0;1942.0;1750.0;2080.0;2018/05/21;2018/05/27;2018;5
P;4.0;944.0;7358.0;1985.0;1818.0;2018/05/21;2018/05/27;2018;5
O;2.0;246.0;7514.0;1993.0;1863.0;2018/05/21;2018/05/27;2018;5
R;600.0;7424.0;1899.0;1823.0;1991.0;2018/05/21;2018/05/27;2018;5
C;22.0;7397.0;1916.0;1580.0;2100.0;2018/05/21;2018/05/27;2018;5
U;3.0;7257.0;1722.0;1600.0;1800.0;2018/05/21;2018/05/27;2018;5
S;11.0;7593.0;1640.0;1400.0;1905.0;2018/05/21;2018/05/27;2018;5
P;4.0;663.0;8748.0;1926.0;1751.0;2018/05/21;2018/05/27;2018;5
O;6.0;430.0;8792.0;1922.0;1849.0;2018/05/21;2018/05/27;2018;5
R;981.0;8972.0;1813.0;1723.0;1920.0;2018/05/21;2018/05/27;2018;5
C;149.0;8834.0;1639.0;1622.0;1668.0;2018/05/21;2018/05/27;2018;5
U;2.0;8500.0;1600.0;1600.0;1600.0;2018/05/21;2018/05/27;2018;5
S;38.0;9791.0;1675.0;1593.0;1717.0;2018/05/21;2018/05/27;2018;5
BP;4448.0;74.26;24.26;23.5;26.75;2016/05/30;2016/06/05;2016;6
BO;1552.0;75.12;24.28;22.55;25.0;2016/05/30;2016/06/05;2016;6
BR;146.0;75.64;23.75;22.9;24.0;2016/05/30;2016/06/05;2016;6
BC;15.0;75.25;20.87;19.91;23.0;2016/05/30;2016/06/05;2016;6
BU;1.0;67.7;13.0;13.0;13.0;2016/05/30;2016/06/05;2016;6
PP;883.0;49.24;25.49;22.22;27.18;2016/05/30;2016/06/05;2016;6
PO;125.0;48.96;25.01;20.79;27.2;2016/05/30;2016/06/05;2016;6
PR;19.0;42.54;24.5;21.37;25.5;2016/05/30;2016/06/05;2016;6
PC;1.0;38.7;24.0;24.0;24.0;2016/05/30;2016/06/05;2016;6
SAS;422.0;138.33;16.22;15.0;20.0;2016/05/30;2016/06/05;2016;6
HP;3384.0;86.23;24.08;23.52;25.0;2016/05/30;2016/06/05;2016;6
HO;3503.0;88.14;24.19;23.51;25.0;2016/05/30;2016/06/05;2016;6
HR;626.0;89.52;23.54;21.37;24.0;2016/05/30;2016/06/05;2016;6
HC;67.0;90.89;19.76;13.0;22.5;2016/05/30;2016/06/05;2016;6
HU;14.0;89.84;18.23;11.0;19.51;2016/05/30;2016/06/05;2016;6
HS;3.0;89.7;17.7;15.0;20.0;2016/05/30;2016/06/05;2016;6
CP;781.0;60.84;25.11;22.68;26.75;2016/05/30;2016/06/05;2016;6
CO;572.0;79.49;24.59;23.5;26.0;2016/05/30;2016/06/05;2016;6
CR;189.0;84.83;24.5;23.74;25.0;2016/05/30;2016/06/05;2016;6
CC;18.0;81.14;23.17;16.0;24.5;2016/05/30;2016/06/05;2016;6
CU;1.0;58.3;22.0;22.0;22.0;2016/05/30;2016/06/05;2016;6
CS;5.0;95.64;24.5;24.5;24.5;2016/05/30;2016/06/05;2016;6
SAB;164.0;114.75;12.21;6.0;20.0;2016/05/30;2016/06/05;2016;6
PP;2415.0;5246.0;2651.0;2528.0;2931.0;2017/05/29;2017/06/04;2017;6
PO;200.0;5157.0;2652.0;2549.0;2802.0;2017/05/29;2017/06/04;2017;6
PR;37.0;4992.0;2572.0;2339.0;2764.0;2017/05/29;2017/06/04;2017;6
PC;9.0;4879.0;2484.0;2025.0;2800.0;2017/05/29;2017/06/04;2017;6
PU;1.0;4840.0;2000.0;2000.0;2000.0;2017/05/29;2017/06/04;2017;6
PS;5.0;21704.0;1750.0;1750.0;1750.0;2017/05/29;2017/06/04;2017;6
CP;1584.0;6176.0;2701.0;2632.0;2850.0;2017/05/29;2017/06/04;2017;6
CO;276.0;6118.0;2675.0;2622.0;2792.0;2017/05/29;2017/06/04;2017;6
CR;48.0;6218.0;2649.0;2676.0;2700.0;2017/05/29;2017/06/04;2017;6
CC;9.0;6223.0;2176.0;1525.0;2560.0;2017/05/29;2017/06/04;2017;6
CU;3.0;6140.0;1715.0;1300.0;2560.0;2017/05/29;2017/06/04;2017;6
CS;1.0;5770.0;1100.0;1100.0;1100.0;2017/05/29;2017/06/04;2017;6
BP;7469.0;7348.0;2633.0;2470.0;2763.0;2017/05/29;2017/06/04;2017;6
BO;2466.0;7511.0;2638.0;2554.0;2741.0;2017/05/29;2017/06/04;2017;6
BR;258.0;7617.0;2577.0;2451.0;2650.0;2017/05/29;2017/06/04;2017;6
BC;35.0;7398.0;2193.0;1579.0;2766.0;2017/05/29;2017/06/04;2017;6
BU;8.0;687.0;2388.0;1644.0;2800.0;2017/05/29;2017/06/04;2017;6
BS;20.0;7806.0;2309.0;2013.0;2800.0;2017/05/29;2017/06/04;2017;6
HP;4599.0;8579.0;2553.0;2450.0;2610.0;2017/05/29;2017/06/04;2017;6
HO;5626.0;8714.0;2569.0;2450.0;2725.0;2017/05/29;2017/06/04;2017;6
HR;988.0;8850.0;2526.0;2403.0;2705.0;2017/05/29;2017/06/04;2017;6
HC;91.0;8909.0;2149.0;1859.0;2483.0;2017/05/29;2017/06/04;2017;6
HU;15.0;8937.0;2111.0;1862.0;2450.0;2017/05/29;2017/06/04;2017;6
HS;15.0;9346.0;1907.0;1472.0;2450.0;2017/05/29;2017/06/04;2017;6
SAU;712.0;14075.0;1859.0;1583.0;2343.0;2017/05/29;2017/06/04;2017;6
SAB;302.0;11118.0;2022.0;1117.0;2415.0;2017/05/29;2017/06/04;2017;6
P;2.0;28.0;5273.0;2191.0;2026.0;2018/05/28;2018/06/03;2018;6
O;94.0;4953.0;2141.0;1874.0;2300.0;2018/05/28;2018/06/03;2018;6
R;21.0;4443.0;2077.0;1931.0;2200.0;2018/05/28;2018/06/03;2018;6
C;8.0;5150.0;2400.0;2075.0;3000.0;2018/05/28;2018/06/03;2018;6
U;7.0;5329.0;2157.0;2150.0;2200.0;2018/05/28;2018/06/03;2018;6
S;2.0;5370.0;2150.0;2150.0;2150.0;2018/05/28;2018/06/03;2018;6
P;1.0;221.0;6126.0;2025.0;1788.0;2018/05/28;2018/06/03;2018;6
O;161.0;6141.0;2068.0;1850.0;2200.0;2018/05/28;2018/06/03;2018;6
R;18.0;5985.0;2005.0;1830.0;2140.0;2018/05/28;2018/06/03;2018;6
C;1.0;6510.0;2010.0;2010.0;2010.0;2018/05/28;2018/06/03;2018;6
P;7.0;312.0;7488.0;1975.0;1813.0;2018/05/28;2018/06/03;2018;6
O;2.0;462.0;7607.0;2033.0;1871.0;2018/05/28;2018/06/03;2018;6
R;237.0;7809.0;1985.0;1777.0;2183.0;2018/05/28;2018/06/03;2018;6
C;25.0;8003.0;1778.0;1600.0;2110.0;2018/05/28;2018/06/03;2018;6
U;6.0;8051.0;1723.0;1400.0;1850.0;2018/05/28;2018/06/03;2018;6
S;31.0;8985.0;1682.0;1573.0;1924.0;2018/05/28;2018/06/03;2018;6
P;3.0;24.0;8524.0;1908.0;1791.0;2018/05/28;2018/06/03;2018;6
O;6.0;31.0;8791.0;1927.0;1857.0;2018/05/28;2018/06/03;2018;6
R;892.0;8951.0;1826.0;1717.0;1956.0;2018/05/28;2018/06/03;2018;6
C;28.0;8972.0;1650.0;1513.0;1838.0;2018/05/28;2018/06/03;2018;6
U;3.0;9190.0;1600.0;1600.0;1600.0;2018/05/28;2018/06/03;2018;6
S;5.0;8623.0;1710.0;1400.0;1920.0;2018/05/28;2018/06/03;2018;6
A2;10416.0;27889.0;4472.0;4545.0;4427.0;2018/05/28;2018/06/03;2018;6
A3;1455.0;29311.0;4469.0;4551.0;4429.0;2018/05/28;2018/06/03;2018;6
AB2;434.0;27403.0;4300.0;4471.0;4293.0;2018/05/28;2018/06/03;2018;6
AB3;101.0;30023.0;4336.0;4425.0;4298.0;2018/05/28;2018/06/03;2018;6
B2;282.0;25863.0;3864.0;4160.0;3858.0;2018/05/28;2018/06/03;2018;6
B3;56.0;31094.0;3948.0;4203.0;3910.0;2018/05/28;2018/06/03;2018;6
C2;1485.0;25658.0;3742.0;3990.0;3677.0;2018/05/28;2018/06/03;2018;6
C3;489.0;28477.0;3800.0;4024.0;3839.0;2018/05/28;2018/06/03;2018;6
A2;7.0;73700.0;27204.0;4728.0;4732.0;2018/05/28;2018/06/03;2018;6
A3;1.0;16400.0;29222.0;4731.0;4739.0;2018/05/28;2018/06/03;2018;6
AB2;50000.0;26489.0;4591.0;4629.0;4338.0;2018/05/28;2018/06/03;2018;6
AB3;10000.0;28741.0;4607.0;4651.0;4414.0;2018/05/28;2018/06/03;2018;6
B2;46200.0;25945.0;4273.0;4322.0;4093.0;2018/05/28;2018/06/03;2018;6
B3;11100.0;28450.0;4250.0;4303.0;4136.0;2018/05/28;2018/06/03;2018;6
C2;1.0;80500.0;25946.0;4249.0;4106.0;2018/05/28;2018/06/03;2018;6
C3;76000.0;30616.0;4070.0;4090.0;4063.0;2018/05/28;2018/06/03;2018;6
A0;3500.0;1501.0;5547.0;5941.0;4600.0;2018/05/28;2018/06/03;2018;6
A1;31100.0;1527.0;6642.0;6479.0;5400.0;2018/05/28;2018/06/03;2018;6
A2;6.0;36700.0;2220.0;7058.0;7175.0;2018/05/28;2018/06/03;2018;6
A3;1.0;34500.0;2395.0;7030.0;7058.0;2018/05/28;2018/06/03;2018;6
A4;24000.0;2714.0;5971.0;6281.0;6155.0;2018/05/28;2018/06/03;2018;6
A5;5000.0;2694.0;5072.0;5348.0;5292.0;2018/05/28;2018/06/03;2018;6
A6;6100.0;2565.0;5168.0;5166.0;5127.0;2018/05/28;2018/06/03;2018;6
AB2;14600.0;2262.0;6161.0;6397.0;6142.0;2018/05/28;2018/06/03;2018;6
