Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;AB3;103.0;293.1;37.0;37.23;26.94;42.15;2016/04/19;2016/04/26
Cattle;B2;547.0;296.48;32.87;33.52;29.5;36.12;2016/04/19;2016/04/26
Cattle;B3;61.0;307.47;33.51;33.16;27.0;36.0;2016/04/19;2016/04/26
Cattle;C2;2059.0;237.43;26.79;29.13;27.0;33.3;2016/04/19;2016/04/26
Cattle;C3;359.0;275.64;27.86;29.44;27.5;33.3;2016/04/19;2016/04/26
Cattle;A2;11702.0;258.36;38.41;38.4;31.0;41.5;2016/04/25;2016/05/01
Cattle;A3;1966.0;278.32;38.15;38.37;35.0;41.5;2016/04/25;2016/05/01
Cattle;AB2;535.0;258.94;36.29;36.95;32.0;41.48;2016/04/25;2016/05/01
Cattle;AB3;131.0;270.26;36.34;37.32;32.0;41.48;2016/04/25;2016/05/01
Cattle;B2;458.0;250.68;31.79;33.05;27.5;36.73;2016/04/25;2016/05/01
Cattle;B3;96.0;274.93;32.3;33.37;28.5;37.79;2016/04/25;2016/05/01
Cattle;C2;1970.0;248.76;28.39;29.34;26.0;32.0;2016/04/25;2016/05/01
Cattle;C3;671.0;273.24;29.31;30.34;26.0;32.0;2016/04/25;2016/05/01
Cattle;A2;9686.0;254.6;38.34;38.63;34.78;40.9;2016/05/02;2016/05/08
Cattle;A3;1855.0;275.28;38.39;38.8;37.98;40.9;2016/05/02;2016/05/08
Cattle;AB2;526.0;235.44;35.8;36.82;31.87;40.96;2016/05/02;2016/05/08
Cattle;AB3;120.0;274.15;35.88;37.04;34.95;40.96;2016/05/02;2016/05/08
Cattle;B2;384.0;230.93;30.73;31.75;27.0;37.81;2016/05/02;2016/05/08
Cattle;B3;99.0;256.36;30.08;31.41;28.0;37.5;2016/05/02;2016/05/08
Cattle;C2;1366.0;255.05;28.34;29.07;27.5;33.3;2016/05/02;2016/05/08
Cattle;C3;528.0;284.26;28.57;29.48;27.0;33.3;2016/05/02;2016/05/08
Cattle;A2;10500.0;262.03;38.15;37.92;37.99;40.9;2016/05/09;2016/05/15
Cattle;A3;1668.0;275.16;38.46;38.21;37.93;40.9;2016/05/09;2016/05/15
Cattle;AB2;713.0;255.76;36.25;36.03;36.02;40.5;2016/05/09;2016/05/15
Cattle;AB3;115.0;297.42;36.72;35.97;33.81;39.0;2016/05/09;2016/05/15
Cattle;B2;567.0;263.7;32.39;32.22;31.98;35.0;2016/05/09;2016/05/15
Cattle;B3;107.0;278.71;32.04;32.07;27.85;35.05;2016/05/09;2016/05/15
Cattle;C2;2477.0;252.53;27.79;29.19;27.16;33.3;2016/05/09;2016/05/15
Cattle;C3;746.0;282.52;28.18;29.2;27.16;33.3;2016/05/09;2016/05/15
Cattle;A2;8078.0;262.9;34.82;34.64;28.12;39.5;2016/01/11;2016/01/17
Cattle;A3;1008.0;283.14;34.58;34.98;29.35;39.38;2016/01/11;2016/01/17
