Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-02-16,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,150,1,76,16,2,7
2023-02-14,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,70.0,70.0,70.0,70.0,11480,164,0,14,2,7
2023-02-13,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,600,4,164,13,2,7
2023-02-09,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,80.0,80.0,80.0,80.0,21600,270,0,9,2,6
2023-02-08,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,70.0,70.0,70.0,70.0,6230,89,0,8,2,6
2023-02-07,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,89,7,2,6
2023-02-07,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,89,7,2,6
2023-02-06,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,140.0,140.0,140.0,140.0,140,1,89,6,2,6
2023-01-31,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,73.44,140.0,50.0,95.0,6610,90,0,31,1,5
2023-01-30,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,90,30,1,5
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,EXTRA LARGE,PUNNET,5.0,70.0,70.0,70.0,70.0,2800,40,0,27,1,4
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,80.0,120.0,70.0,95.0,4400,55,37,27,1,4
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,SMALL,PUNNET,0.5,63.13,140.0,50.0,95.0,5240,83,117,27,1,4
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,EXTRA LARGE,PUNNET,5.0,70.0,70.0,70.0,70.0,2800,40,0,27,1,4
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,80.0,120.0,70.0,95.0,4400,55,37,27,1,4
2023-01-27,APRICOTS,IMPERIAL,CLASS 1,SMALL,PUNNET,0.5,63.13,140.0,50.0,95.0,5240,83,117,27,1,4
