Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
A2,5660,21.54,71.35,71.51,70.20,74.35
A3,1081,24.48,72.18,71.24,70.31,74.31
A4,216,25.72,62.37,63.18,60.47,68.52
A5,36,25.53,51.86,52.92,43.58,60.88
A6,68,26.86,50.42,51.40,50.73,51.55
AB2,263,20.84,63.28,66.32,63.86,67.39
AB3,33,24.39,61.31,65.65,63.98,67.71
B2,110,22.46,64.04,63.91,59.10,64.99
B3,21,24.88,58.60,62.98,54.06,65.00
C2,1253,22.55,57.66,56.84,52.98,60.59
C3,212,25.58,52.93,57.36,54.09,64.00
A2,10263,258.08,43.64,44.23,34.00,47.50
A3,1046,275.51,43.56,44.24,43.00,47.50
AB2,599,246.04,41.62,42.25,40.74,44.30
AB3,97,272.10,41.59,42.25,36.50,44.00
B2,455,236.64,39.76,38.23,34.95,41.30
B3,91,270.66,37.87,38.29,34.50,39.02
C2,2071,248.55,36.36,36.47,32.57,39.11
C3,569,275.27,36.47,36.79,32.57,38.95
A0,295,13.62,57.36,55.83,57.90,66.00
A1,5543,19.97,67.22,62.06,58.86,66.95
A2,5979,19.76,65.65,65.96,63.50,73.11
A3,1475,21.45,65.75,65.07,62.72,72.60
A4,213,21.75,57.46,59.92,57.30,71.50
A5,47,22.94,54.08,54.94,54.73,66.00
A6,52,21.51,52.90,51.65,47.12,66.00
AB2,102,70.89,56.50,57.48,46.00,59.10
AB3,29,23.47,53.23,57.63,46.00,71.70
B2,458,24.10,49.87,54.12,43.00,56.00
B3,213,25.00,51.07,52.03,48.50,56.00
C2,632,23.72,45.13,47.45,42.00,55.00
B2,215,257.38,38.34,39.78,36.73,42.00
B3,33,288.74,38.94,39.11,38.84,39.83
C2,1166,261.31,38.16,41.93,35.44,53.09
C3,328,288.34,39.00,40.20,37.78,41.55
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,60,14.64,49.30,60.85,56.81,62.00
A1,344,14.97,63.39,68.14,64.29,73.04
A2,7188,21.16,67.79,69.91,62.54,72.85
A3,1072,23.56,68.37,70.05,66.04,71.51
A4,129,21.08,55.16,66.50,55.15,77.21
A5,19,19.13,45.73,50.59,45.30,53.83
A6,81,19.09,46.61,49.09,44.27,52.37
AB2,125,20.14,58.94,60.54,53.99,64.00
AB3,7,20.91,55.86,62.47,60.00,67.50
B2,116,22.60,55.79,62.02,60.13,62.82
B3,10,25.31,51.69,58.48,55.85,60.00
C2,692,24.45,52.57,57.63,55.26,59.38
C3,95,28.02,52.29,57.89,54.37,62.00
B2,296,249.85,42.66,43.45,41.84,44.71
B3,85,257.83,42.60,43.53,42.38,44.55
C2,1006,255.19,41.74,41.89,40.25,43.17
C3,393,260.82,42.31,42.40,41.90,43.10
A0,6,15.68,53.39,55.77,32.00,69.00
A1,240,16.25,69.70,69.16,66.01,71.34
A2,8055,21.08,69.45,70.99,68.75,73.82
A3,1205,22.57,69.84,71.25,69.80,73.98
A4,300,22.57,62.27,63.15,61.08,67.63
