Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
C2,907,25.20,45.30,45.38,42.96,48.68
C3,234,24.24,45.30,43.80,41.17,48.91
PIGS,Units,Avg,Avg,Purch,Purch,Purch
B2,372,246.67,42.85,43.49,42.12,43.48
B3,144,280.91,42.61,43.69,42.86,44.72
C2,1320,252.29,40.87,41.22,39.32,42.75
C3,613,279.31,41.08,41.77,40.46,42.75
A0,11,12.68,48.90,49.86,42.00,55.41
A1,266,14.16,65.67,66.52,61.19,69.40
A2,7448,21.05,67.58,70.03,66.03,72.90
A3,1663,23.18,68.21,70.32,68.70,71.59
A4,319,23.46,59.87,62.39,61.71,64.01
A5,59,22.44,53.48,54.06,52.07,57.96
A6,34,24.41,53.77,53.11,51.25,58.82
AB2,149,19.65,58.42,62.48,58.44,66.75
AB3,29,20.91,53.11,61.54,57.57,65.39
B2,161,21.40,58.73,60.74,57.44,61.51
B3,38,24.21,53.40,54.83,52.93,55.19
C2,832,22.59,52.28,53.17,49.46,55.54
C3,122,25.04,50.41,52.71,51.11,56.06
A2,10219,267.11,38.24,36.32,32.00,42.15
A3,1900,281.73,38.03,39.11,36.49,42.15
AB2,1016,256.41,35.48,35.21,30.00,42.15
AB3,103,293.10,37.00,37.23,26.94,42.15
B2,547,296.48,32.87,33.52,29.50,36.12
B3,61,307.47,33.51,33.16,27.00,36.00
C2,2059,237.43,26.79,29.13,27.00,33.30
C3,359,275.64,27.86,29.44,27.50,33.30
A0,184,14.97,40.42,41.61,34.77,50.00
A1,1231,15.28,53.19,51.96,38.50,59.27
A2,11950,19.94,55.67,56.83,49.85,68.00
A3,2478,21.21,55.72,56.95,50.68,68.00
A4,434,42.96,47.16,49.17,44.00,61.65
A5,92,21.92,40.11,41.89,38.00,54.39
A6,97,20.60,38.54,42.57,37.50,49.65
AB2,225,20.20,45.04,46.37,42.00,55.36
AB3,55,22.26,44.93,45.03,42.00,64.00
B2,254,22.27,41.74,42.56,37.00,54.00
B3,75,24.33,39.99,42.06,38.20,55.00
C2,1135.5,21.43,36.69,37.45,32.00,47.00
C3,527,22.91,35.73,37.36,32.84,44.80
B2,216,269.37,38.96,41.78,38.67,45.10
B3,62,316.08,39.53,41.68,40.17,44.55
C2,798,261.01,38.01,40.20,37.45,42.50
C3,328,289.59,38.16,40.88,37.65,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,22,13.04,41.00,58.20,52.78,60.19
A1,354,14.45,59.82,67.02,62.73,68.58
A2,7826,20.79,64.25,69.01,63.23,71.05
A3,1644,21.76,63.67,69.14,64.20,70.66
A4,225,21.65,50.48,60.90,54.81,62.73
A5,9,22.54,47.59,54.36,50.59,59.92
A6,44,20.38,44.55,52.11,51.62,52.37
AB2,74,21.73,54.62,60.09,57.38,63.39
AB3,18,23.13,52.05,57.45,56.50,62.11
B2,283,24.54,56.26,59.88,58.99,60.07
B3,54,24.90,49.94,57.84,55.84,58.01
C2,1067,22.48,48.87,52.24,50.20,54.72
C3,113,23.37,47.25,52.77,51.55,54.25
B2,256,258.46,38.86,40.92,37.92,43.92
B3,75,293.32,39.34,40.95,38.70,43.94
C2,828,263.46,37.89,39.37,37.06,42.00
C3,263,278.75,38.14,40.19,37.29,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,15,13.23,43.19,57.91,55.24,60.15
A1,210,14.97,58.49,64.96,58.51,68.49
A2,6817,21.48,64.45,69.24,63.94,71.24
A3,1241,22.93,64.92,69.87,66.85,70.90
A4,162,23.44,53.18,60.84,53.71,62.37
A5,9,24.84,48.43,52.66,43.00,53.84
A6,20,19.88,45.34,52.36,52.36,52.36
AB2,40,19.59,54.26,57.83,56.01,62.76
AB3,2,19.40,48.48,55.27,50.00,62.09
B2,249,23.93,55.85,59.53,56.68,60.50
B3,18,26.69,51.29,58.53,55.81,61.25
C2,755,22.90,48.79,52.05,50.66,54.83
C3,147,25.58,47.80,52.49,50.49,56.55
A2,8681,361.99,46.81,46.42,38.00,54.50
A3,1269,281.15,47.64,47.96,44.44,54.50
AB2,607,250.10,46.07,45.53,36.37,54.50
AB3,105,274.28,45.87,43.66,38.00,47.50
B2,431,235.28,39.85,39.97,35.90,44.40
B3,71,278.89,39.87,36.72,37.00,44.40
C2,1529,239.26,37.62,37.81,35.01,41.80
C3,372,283.05,37.86,38.05,35.00,39.58
A0,240,13.76,51.09,53.58,44.00,61.18
A1,630,15.48,61.53,61.53,57.00,72.98
A2,11889,21.44,64.62,64.14,61.56,72.20
A3,1960,23.39,64.39,64.12,61.44,72.12
A4,292,24.03,56.99,58.11,56.93,68.50
A5,36,24.55,52.38,53.81,48.37,63.41
A6,46,22.66,48.07,48.35,48.63,54.56
AB2,124,20.59,51.83,53.44,49.60,59.49
AB3,27,23.33,53.49,51.87,45.60,59.22
B2,65,24.48,46.36,46.62,41.00,55.00
B3,22,26.03,46.73,42.23,39.00,50.57
C2,787,22.97,45.23,46.32,42.00,50.96
C3,307,24.58,45.15,46.17,43.00,51.07
A2,11702,258.36,38.41,38.40,31.00,41.50
A3,1966,278.32,38.15,38.37,35.00,41.50
AB2,535,258.94,36.29,36.95,32.00,41.48
AB3,131,270.26,36.34,37.32,32.00,41.48
B2,458,250.68,31.79,33.05,27.50,36.73
B3,96,274.93,32.30,33.37,28.50,37.79
C2,1970,248.76,28.39,29.34,26.00,32.00
C3,671,273.24,29.31,30.34,26.00,32.00
A0,159,12.69,42.86,44.24,28.26,46.77
A1,733,15.07,53.09,52.70,46.00,59.27
A2,16550,20.51,53.55,54.71,51.52,68.00
A3,3764,22.27,52.21,54.65,51.72,68.00
A4,497,22.94,45.19,48.67,46.00,58.00
A5,96,23.62,42.22,43.89,38.50,53.98
A6,141,22.07,39.62,41.21,38.00,50.66
AB2,153,21.23,46.14,48.64,40.00,56.27
AB3,44,23.63,43.34,47.36,43.00,52.50
B2,141,24.65,39.37,42.30,39.00,46.34
B3,42,26.39,39.88,41.91,37.00,55.00
C2,988,23.75,35.61,37.70,35.00,41.21
C3,390,25.02,36.61,36.48,31.00,40.00
B2,247,246.21,37.75,41.00,36.83,43.51
B3,18,300.53,36.94,39.41,36.80,44.48
C2,1052,262.05,37.05,40.46,36.88,42.85
C3,307,274.92,37.52,40.63,37.50,42.18
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,213,10.15,23.63,29.25,25.00,42.28
A1,459,14.07,62.27,64.72,58.50,70.12
A2,7344,19.86,72.74,73.45,69.61,82.50
A3,1149,22.30,72.68,72.63,69.83,81.61
A4,228,23.06,62.41,62.64,60.57,65.22
A5,44,22.86,53.70,55.83,53.88,58.89
A6,18,22.05,54.61,53.32,52.42,57.00
AB2,106,20.68,58.54,60.67,57.73,63.96
AB3,19,26.17,60.27,62.19,61.42,65.03
B2,165,22.07,52.86,57.85,54.80,60.14
B3,17,24.55,51.07,57.76,55.35,59.12
C2,2262,22.95,51.48,52.80,48.22,57.09
C3,430,26.06,51.51,53.87,47.51,57.27
B2,298,281.30,39.53,41.13,38.66,43.53
B3,98,298.07,38.83,41.13,38.71,43.32
C2,1129,267.44,37.27,39.52,36.60,42.50
C3,440,284.42,37.86,40.28,37.48,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,34,16.34,46.46,56.58,54.29,59.08
A1,170,16.47,53.87,62.97,60.06,65.40
A2,9334,21.52,62.00,62.86,58.11,70.96
A3,1919,23.18,63.52,71.69,67.40,78.05
A4,250,22.20,51.72,61.60,58.01,62.64
A5,18,22.39,46.13,52.34,51.38,53.84
A6,54,19.61,44.09,50.99,49.27,52.36
AB2,73,20.88,54.87,59.79,58.72,60.67
AB3,6,22.35,52.75,58.62,55.00,62.09
B2,125,23.24,51.90,56.95,52.57,58.85
B3,41,27.24,51.55,52.57,51.75,55.82
C2,797,23.85,43.73,49.58,44.94,54.33
C3,193,26.02,44.43,51.16,46.43,54.72
A2,7414,251.99,47.47,43.43,44.15,54.50
A3,1267,237.54,47.45,45.31,44.44,54.50
AB2,486,244.04,45.46,38.50,34.00,54.50
AB3,107,254.24,46.18,36.13,38.00,48.00
B2,332,229.04,38.91,24.65,36.00,44.40
B3,77,255.08,40.54,20.36,35.21,44.40
C2,1434,239.26,37.12,23.69,34.17,39.00
C3,418,262.64,38.09,30.66,34.17,39.00
A0,189,12.83,48.34,47.46,38.00,56.40
A1,690,15.58,61.95,61.17,54.00,71.06
A2,7993,20.11,63.89,63.94,56.89,72.12
A3,997,22.60,63.44,61.01,58.67,73.11
A4,85,23.46,55.93,58.17,52.00,65.00
A5,16,24.96,55.49,55.81,50.00,57.52
A6,12,18.83,44.35,50.99,44.73,55.00
AB2,67,20.78,56.08,42.99,43.12,60.00
AB3,6,23.28,50.90,35.91,55.49,59.34
B2,116,26.08,49.68,42.61,50.00,62.00
B3,28,30.08,49.00,40.78,48.00,62.00
C2,851,23.54,45.18,44.66,40.90,54.00
C3,142,170.06,47.27,48.04,41.30,51.07
PIGS,Units,Avg,Avg,Purch,Purch,Purch
B2,222,244.35,41.97,43.74,41.17,46.51
B3,84,278.53,41.44,44.11,42.96,44.86
C2,956,259.41,41.09,41.79,40.67,43.04
C3,415,279.16,41.41,42.24,40.82,43.12
A0,16,12.65,52.11,61.60,59.60,62.00
A1,154,14.72,66.88,67.29,65.85,69.58
A2,8269,22.18,67.94,70.67,69.04,72.03
A3,1579,24.52,68.58,70.35,70.03,70.76
A4,257,25.32,60.11,62.65,61.81,65.75
A5,39,25.94,51.66,54.61,53.05,61.33
A6,30,26.42,56.66,59.29,51.27,68.00
AB2,16,23.17,57.25,64.45,59.43,71.50
B2,15,21.50,51.11,54.68,53.78,56.25
B3,1,20.60,47.00,54.19,54.19,54.19
C2,425,24.63,49.52,53.09,51.49,55.37
C3,71,28.97,48.58,54.50,52.59,55.00
A2,9686,254.60,38.34,38.63,34.78,40.90
A3,1855,275.28,38.39,38.80,37.98,40.90
AB2,526,235.44,35.80,36.82,31.87,40.96
AB3,120,274.15,35.88,37.04,34.95,40.96
B2,384,230.93,30.73,31.75,27.00,37.81
B3,99,256.36,30.08,31.41,28.00,37.50
C2,1366,255.05,28.34,29.07,27.50,33.30
C3,528,284.26,28.57,29.48,27.00,33.30
A0,153,12.93,44.02,46.11,37.00,51.90
A1,723,15.19,53.50,54.05,48.00,56.96
A2,15189,20.54,56.14,55.19,52.50,62.84
A3,3997,21.02,55.71,55.24,53.00,60.32
A4,662,21.11,47.63,48.98,47.00,59.00
A5,121,21.31,41.46,43.15,39.00,51.83
A6,201,20.08,40.75,42.65,39.00,52.78
AB2,144,20.42,46.62,50.02,44.00,56.44
AB3,75,21.63,46.47,48.15,43.00,56.44
B2,186,23.93,40.87,44.06,40.00,55.00
B3,58,28.86,41.41,42.85,40.00,55.00
C2,2156,22.64,37.01,39.01,36.00,44.00
C3,457,24.55,36.19,38.15,35.00,41.74
B2,329,287.79,38.91,40.27,37.05,43.33
B3,94,324.27,39.56,40.66,38.31,42.58
C2,882,252.96,37.26,40.26,36.55,42.00
C3,247,270.15,37.82,40.21,37.53,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,256,9.95,24.82,29.55,25.00,40.61
A1,387,13.54,60.40,62.43,48.00,71.29
A2,7411,21.75,74.77,72.15,69.60,77.33
A3,1308,22.08,74.68,71.47,70.08,76.94
A4,276,21.59,64.44,63.37,61.45,68.24
A5,21,18.74,52.79,54.57,53.89,56.97
A6,32,18.56,51.63,52.50,52.43,52.72
AB2,65,18.34,57.14,63.24,60.52,65.15
AB3,6,23.78,52.74,55.14,49.00,62.00
B2,152,22.30,51.73,56.60,54.25,60.00
B3,12,26.42,55.96,55.41,47.00,62.58
C2,1528,23.37,52.13,52.92,47.59,55.73
C3,296,25.76,54.28,53.70,46.57,58.54
A2,7266,251.69,47.17,46.70,44.13,54.50
A3,1367,268.78,47.25,46.90,42.00,54.50
AB2,418,200.30,45.13,44.68,36.50,54.50
AB3,84,236.35,44.27,44.43,37.50,46.50
B2,425,202.16,38.79,40.07,35.85,44.40
B3,133,175.52,38.95,40.82,35.80,47.40
C2,1477,196.81,37.41,38.16,35.01,40.50
C3,506,196.62,37.76,39.08,35.93,40.50
A0,168,14.51,54.49,55.88,45.00,59.83
A1,1188,16.16,63.57,64.10,55.00,66.50
A2,11362,20.70,64.93,67.19,61.00,71.87
A3,1804,22.51,64.34,64.78,61.00,71.75
A4,364,21.32,56.80,56.14,43.00,68.00
A5,70,20.73,50.19,46.19,44.13,58.13
A6,123,22.87,47.65,44.15,39.00,56.84
AB2,141,21.03,55.03,57.07,45.00,62.00
AB3,14,21.92,52.74,53.63,45.00,60.53
B2,202,24.49,49.15,51.64,32.00,56.12
B3,40,28.37,48.97,50.69,48.00,55.17
C2,1098,23.11,48.02,44.75,41.00,53.24
C3,261,25.17,46.83,39.90,40.00,53.24
Mass,Price,Min,Max,Merino,ea,91.25
B2,305,247.95,41.74,43.15,44.27,47.88
B3,123,280.37,41.49,43.42,41.94,44.45
C2,1166,260.05,40.65,41.52,39.27,43.27
C3,530,282.21,41.13,42.35,40.76,43.24
A0,33,15.84,56.32,60.86,54.58,62.97
A1,359,19.10,66.29,66.73,63.82,69.04
A2,7566,21.28,68.03,70.81,69.41,73.75
A3,1729,23.74,68.86,70.71,70.11,72.74
A4,267,24.61,62.73,64.25,61.78,72.26
A5,28,25.21,54.81,55.86,53.02,63.26
A6,26,23.01,53.98,52.25,51.28,55.77
AB2,230,22.32,59.01,64.07,62.28,65.22
AB3,23,23.74,58.18,63.55,60.36,65.00
B2,193,21.57,52.33,55.75,54.38,56.20
B3,50,22.67,52.38,54.35,54.17,54.92
C2,594,24.52,50.19,52.75,50.57,55.14
C3,110,25.78,49.94,53.66,51.13,55.89
A2,10500,262.03,38.15,37.92,37.99,40.90
A3,1668,275.16,38.46,38.21,37.93,40.90
AB2,713,255.76,36.25,36.03,36.02,40.50
AB3,115,297.42,36.72,35.97,33.81,39.00
B2,567,263.70,32.39,32.22,31.98,35.00
B3,107,278.71,32.04,32.07,27.85,35.05
C2,2477,252.53,27.79,29.19,27.16,33.30
C3,746,282.52,28.18,29.20,27.16,33.30
A0,92,12.22,43.75,44.63,35.24,52.00
A1,679,13.44,53.61,52.77,47.00,60.00
A2,10742,19.80,56.77,55.85,53.00,62.84
A3,1910,21.59,56.37,55.94,53.00,60.43
A4,334,22.03,48.12,49.09,47.48,59.00
A5,70,23.08,42.98,42.41,36.00,53.00
A6,87,20.43,39.38,41.49,39.58,50.00
AB2,152,21.26,47.56,49.17,40.00,55.59
AB3,104,23.01,48.24,49.67,39.00,56.44
B2,277,24.12,41.43,43.66,39.00,55.00
B3,123,26.50,41.11,43.55,39.00,48.00
C2,1514,22.79,39.85,40.63,38.00,45.00
C3,389,25.94,39.67,40.40,38.00,45.00
B2,193,258.73,38.59,40.78,38.23,43.18
B3,62,285.05,38.46,40.89,38.73,43.00
C2,973,260.26,37.58,40.18,37.66,42.50
C3,437,289.93,37.55,40.61,38.42,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,9,12.05,40.76,57.79,53.00,60.14
A1,192,14.74,59.70,66.26,61.14,68.46
A2,6016,21.03,63.46,68.10,63.38,70.92
A3,1257,22.49,64.41,69.57,66.84,70.41
A4,175,22.18,53.33,61.97,58.75,63.45
A5,15,22.29,44.81,53.84,53.83,54.00
A6,37,22.15,43.90,52.47,52.35,53.31
AB2,35,20.92,50.43,61.97,59.71,64.70
AB3,17,23.49,47.21,62.24,61.05,63.55
B2,28,22.74,49.16,54.70,48.00,60.54
B3,3,21.83,44.00,55.80,55.80,55.80
C2,563,23.48,44.47,52.53,48.41,54.60
C3,136,25.10,43.44,53.26,51.24,54.53
A2,8078,262.90,34.82,34.64,28.12,39.50
A3,1008,283.14,34.58,34.98,29.35,39.38
AB2,381,256.07,33.46,32.49,28.38,35.81
AB3,62,276.32,34.06,33.62,29.28,35.81
B2,360,242.86,30.44,29.36,27.05,32.00
B3,41,286.99,30.72,30.92,27.94,32.17
C2,1330,249.22,27.81,27.24,25.73,31.00
C3,226,279.18,28.84,27.49,25.82,31.00
A0,214,12.49,41.65,42.52,32.04,57.50
A1,772,13.68,52.12,52.53,42.50,57.50
A2,6514,18.93,55.78,56.61,46.68,62.66
A3,2711,21.22,55.09,56.70,51.00,65.41
A4,690,23.62,42.02,44.36,39.00,59.00
A5,165,23.70,39.18,36.85,34.50,50.00
A6,113,23.60,39.41,36.85,33.90,48.22
AB2,288,18.52,45.49,46.32,40.00,62.10
AB3,66,21.10,46.84,48.12,40.00,62.70
B2,167,21.70,40.47,44.59,34.91,47.95
B3,44,26.74,43.14,43.43,30.00,47.95
C2,810,22.45,37.58,40.49,34.03,46.20
C3,110,25.67,37.76,39.48,30.73,47.00
15,17,19,21,23,25,27
A2,9883,252.80,38.78,38.43,36.17,42.15
A3,997,276.57,38.63,38.62,36.72,42.15
AB2,350,243.61,36.70,36.70,29.00,40.50
AB3,53,277.83,37.45,37.18,34.50,39.11
B2,236,240.73,34.96,35.92,32.00,39.42
B3,46,276.07,34.62,35.44,31.09,38.50
C2,1287,258.78,33.62,35.00,31.00,39.50
C3,371,285.41,34.00,35.75,31.00,39.50
A0,373,13.13,49.86,49.35,44.16,60.00
A1,1266,15.86,65.32,66.29,40.00,71.00
A2,8741,19.34,62.04,67.22,59.58,75.91
A3,1876,21.07,65.72,66.71,47.64,75.33
A4,293,23.08,59.91,52.60,53.00,67.50
A5,34,22.82,50.54,49.69,45.33,63.09
A6,46,21.83,47.75,48.61,43.00,63.49
AB2,141,21.65,56.39,58.05,50.00,64.80
AB3,34,24.45,58.12,61.54,51.30,68.04
B2,158,25.20,50.86,53.42,50.00,60.48
B3,55,27.14,50.83,52.32,50.00,57.47
B2,369,250.09,43.89,45.59,42.52,47.50
B3,63,283.88,43.98,45.33,42.02,47.65
C2,1178,251.29,43.28,43.40,41.54,46.04
C3,332,277.07,43.52,44.22,42.18,46.11
A0,25,13.22,62.81,61.98,60.08,65.00
A1,148,15.14,72.17,69.12,63.01,77.47
A2,8244,21.65,75.98,73.20,70.72,80.30
A3,1183,25.50,75.61,72.45,70.33,79.50
A4,231,26.88,69.04,65.29,61.92,74.70
A5,19,30.28,65.33,62.87,52.87,72.88
A6,10,27.43,57.11,51.70,51.17,58.00
AB2,125,21.50,68.38,68.37,61.12,73.89
AB3,12,25.89,71.05,65.64,61.12,74.13
B2,74,23.29,62.43,62.48,59.76,68.25
B3,4,24.23,61.30,61.52,59.57,68.00
C2,1039,23.77,53.77,55.03,53.31,67.32
C3,73,26.87,51.05,54.52,52.53,64.78
B2,228,260.17,40.73,41.62,39.40,42.72
B3,40,346.76,41.79,41.78,40.22,42.38
C2,839,267.49,40.00,41.27,39.22,42.82
C3,223,295.80,40.17,41.31,39.89,42.42
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,74,14.89,55.83,61.92,44.47,61.95
A1,258,15.41,66.38,67.85,65.64,69.02
A2,5799,22.44,67.83,71.40,67.44,73.65
A3,889,24.69,68.25,71.36,66.37,74.64
A4,110,24.28,59.47,62.49,57.62,68.53
A5,10,24.19,46.76,50.92,38.00,56.34
A6,19,23.31,51.17,57.03,54.45,60.14
AB2,51,20.85,57.62,65.55,63.62,67.66
AB3,7,24.35,51.78,56.27,50.53,66.00
B2,156,23.15,57.42,63.70,56.87,66.06
B3,11,29.15,47.86,57.38,55.89,62.00
C2,506,25.27,54.66,58.52,54.22,64.30
C3,96,28.55,55.99,60.92,54.28,65.00
B2,212,252.76,40.83,42.35,40.20,44.57
B3,33,309.79,41.62,41.74,41.15,42.76
C2,769,257.39,39.23,41.52,37.89,44.32
C3,149,304.76,39.63,41.65,39.28,44.17
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,20,15.58,53.30,56.54,55.00,59.31
A1,164,15.42,67.73,69.12,64.02,72.00
A2,6423,20.69,72.50,72.50,69.76,80.14
A3,1018,23.17,73.64,73.00,69.58,80.14
A4,181,24.48,67.89,61.67,59.87,64.05
A5,12,27.97,66.20,59.13,53.79,65.13
A6,5,23.42,64.65,58.79,52.37,65.00
AB2,98,20.76,59.59,64.01,61.48,70.81
AB3,3,21.93,55.81,62.02,61.35,63.00
B2,127,22.16,55.40,57.56,53.78,61.70
B3,18,24.32,51.28,54.94,53.47,55.40
C2,1096,24.66,52.73,54.46,50.50,59.34
C3,122,29.47,50.91,53.29,50.00,56.18
A2,3714,260.26,47.33,47.07,44.74,48.60
A3,596,276.99,47.25,47.33,45.27,49.40
AB2,326,241.50,44.66,44.67,40.87,46.57
AB3,69,272.37,44.81,45.27,41.73,48.19
B2,354,234.90,38.96,40.34,38.77,42.29
B3,72,255.62,38.67,40.06,37.46,39.65
C2,1735,245.78,37.92,38.18,36.91,39.83
C3,616,272.66,38.81,38.93,37.50,40.00
A0,100,16.92,53.04,56.02,43.10,59.00
A2,6748,20.95,65.53,65.53,64.65,67.87
A3,932,23.48,64.72,65.41,64.49,68.14
A4,215,23.12,55.37,59.19,57.01,64.50
A5,40,24.94,50.29,50.85,47.50,56.61
A6,70,22.22,41.43,49.78,48.73,52.46
AB2,71,23.18,55.71,57.05,50.44,59.05
AB3,10,25.68,55.40,55.79,53.79,58.00
B2,73,25.27,46.88,50.00,48.90,52.95
B3,34,28.77,45.47,48.95,47.65,50.00
C2,502,24.04,46.03,47.86,44.00,50.08
C3,247,26.99,45.56,47.62,44.00,50.12
A2,9141,267.28,38.57,38.21,36.00,40.90
A3,1579,281.45,38.31,38.76,37.23,40.90
AB2,598,256.96,36.12,35.19,31.21,39.05
AB3,97,295.30,36.56,35.97,32.10,41.16
B2,508,252.01,31.55,31.78,27.50,38.16
B3,79,278.85,31.48,31.29,28.50,36.00
C2,2371,248.57,27.43,28.79,26.20,32.60
C3,594,277.11,27.75,28.75,26.20,32.60
A0,68,13.97,47.67,47.34,33.84,55.00
A1,515,15.32,55.20,53.59,44.00,55.00
A2,9395,20.46,56.83,55.78,54.00,63.95
A3,1945,21.81,56.98,55.73,54.00,61.52
A4,437,21.50,47.23,48.23,43.93,58.00
A5,75,22.58,39.58,40.83,39.45,53.59
A6,114,21.02,39.51,40.90,38.00,43.00
AB2,109,19.61,46.16,49.06,41.20,56.50
AB3,21,24.11,45.87,47.49,45.62,50.00
B2,381,23.16,45.03,47.52,40.00,51.00
B3,14,25.70,40.67,41.77,32.34,48.00
C2,1136,23.54,38.91,40.07,38.00,47.60
C3,205,24.63,38.65,40.26,38.00,47.00
B2,321,259.37,39.19,40.99,38.87,43.63
B3,87,303.39,39.38,41.54,39.72,44.58
C2,1526,253.35,37.58,40.10,37.87,42.00
C3,524,285.26,38.00,40.33,38.77,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,6,13.07,46.38,57.64,56.00,60.13
A1,200,16.19,54.68,60.96,55.00,68.42
A2,7437,22.05,63.77,68.97,64.52,70.89
A3,1630,23.88,64.02,69.62,67.13,70.32
A4,215,24.17,53.69,61.81,58.57,63.24
A5,18,24.87,46.02,54.64,48.71,60.40
A6,56,23.91,45.41,55.02,52.35,62.00
AB2,76,20.12,51.94,60.99,56.85,63.30
AB3,4,28.60,48.17,72.31,61.97,91.99
B2,126,21.62,48.15,57.54,53.40,60.11
B3,18,23.74,44.77,55.97,55.78,56.55
C2,905,23.96,45.60,50.07,44.99,55.08
C3,120,26.36,45.34,53.45,49.83,55.38
A2,11313,262.93,38.54,38.34,27.50,40.41
A3,2298,279.74,38.37,38.29,35.57,40.69
AB2,814,253.27,36.16,36.44,26.50,41.16
AB3,164,303.72,36.47,36.40,30.00,41.16
B2,758,252.28,32.45,32.20,26.50,37.53
B3,151,294.54,32.92,33.00,28.00,37.16
C2,2038,247.62,28.39,28.68,26.54,32.60
C3,719,282.94,28.45,28.71,26.93,32.50
A0,284,14.60,43.55,44.97,35.12,58.00
A1,1428,15.86,54.91,54.30,45.00,62.00
A2,17223,19.67,57.27,56.23,53.00,66.00
A3,3924,20.75,57.40,56.40,54.00,60.92
A4,752,21.06,47.41,47.45,42.00,54.62
A5,244,21.48,40.49,40.75,35.00,53.00
A6,349,19.91,39.97,41.17,38.00,50.00
AB2,302,20.60,46.95,48.94,42.00,56.50
AB3,69,21.28,45.29,47.22,44.00,53.24
B2,314,24.56,44.16,46.17,39.00,57.21
B3,53,25.18,41.53,42.76,39.00,48.00
C2,1576,23.18,39.58,40.27,37.00,47.50
C3,493,44.14,39.09,41.60,37.00,45.00
A2,9936,124.36,47.10,46.34,45.99,47.68
A3,1474,126.24,47.06,46.49,45.34,47.97
AB2,530,198.96,44.83,44.60,42.58,47.15
AB3,127,202.03,44.53,44.77,41.90,46.15
B2,413,234.31,40.12,40.47,38.41,43.80
B3,84,246.40,40.21,41.35,39.35,45.67
C2,1568,246.76,38.49,38.50,36.73,39.98
C3,529,271.90,38.76,39.28,37.21,40.02
A0,299,14.38,56.22,56.66,47.35,59.00
A1,1284,16.40,65.02,66.08,61.11,68.50
A2,9223,19.73,65.80,66.24,64.96,68.87
A3,2396,20.86,65.23,65.91,65.02,67.88
A4,384,24.04,56.17,53.94,54.00,61.57
A5,119,21.36,52.68,49.94,48.47,57.29
A6,151,20.06,53.61,50.16,49.00,53.52
AB2,113,108.22,57.96,60.32,52.00,63.12
AB3,31,23.96,55.18,54.39,51.00,58.86
B2,201,24.61,51.09,52.73,50.00,59.00
B3,61,28.55,50.31,52.23,50.08,55.49
C2,1247,24.07,48.66,49.55,45.79,51.51
C3,287,27.15,48.17,48.52,45.42,50.94
Mass,Price,Min,Max,Merino,ea,96.63
16,17,18,19,20,21,2017
16,17,18,19,20,21,2017
24,24.5,25,25.5,26,26.5,27
16,17,18,19,20,21,2017
B2,372,252.43,42.91,43.52,41.57,45.90
B3,76,281.38,42.47,43.53,42.10,44.80
C3,493,275.54,41.15,41.87,39.97,43.23
A0,23,12.00,43.16,56.80,52.23,60.54
A1,287,14.99,65.42,66.21,62.79,67.76
A4,345,25.70,60.15,62.28,61.69,64.18
A5,59,25.74,52.10,54.09,47.00,65.00
A6,98,26.01,52.41,52.39,51.29,60.00
AB2,35,21.32,60.21,64.04,58.10,67.29
AB3,7,23.16,62.67,65.11,63.00,71.00
B2,271,23.83,59.27,62.37,59.94,62.92
B3,57,25.72,58.52,55.29,54.91,55.41
C2,916,22.68,55.28,56.57,55.31,57.81
C3,137,26.25,52.99,54.87,52.58,55.51
P,4,944,73.58,19.85,18.18,36.11
O,2,246,75.14,19.93,18.63,21.00
P,4,663,87.48,19.26,17.51,20.49
O,6,430,87.92,19.22,18.49,19.61
A2,9873,263.25,38.79,39.26,23.80,40.93
A3,2092,281.18,38.67,39.33,36.49,40.06
AB2,510,254.21,36.67,37.57,26.00,39.90
AB3,109,297.96,36.31,38.00,30.00,40.00
B2,475,253.45,31.88,32.77,25.00,37.73
B3,93,289.59,32.28,33.29,27.50,37.30
C2,1469,254.51,28.90,50.36,27.00,240.51
C3,508,286.68,28.86,31.11,26.00,33.80
A0,171,14.70,44.38,46.21,35.39,49.63
A1,773,16.64,55.77,54.35,48.00,58.45
A2,12833,20.44,56.68,55.09,48.92,70.00
A3,1734,22.00,56.72,55.88,53.67,60.59
A4,345,22.70,49.95,51.64,47.45,66.53
A5,92,23.35,43.58,48.16,41.30,52.16
A6,156,21.36,43.16,44.09,39.62,55.00
AB2,324,19.76,47.70,51.18,46.24,56.30
AB3,58,23.69,47.53,51.00,45.64,54.00
B2,151,22.60,41.57,45.83,40.00,57.21
